Event_ID,Event_Name,Lesson_Segment,Media_Type,File_Path,Specific_Content_Description,Source
EV-68-01,Mậu Thân 1968,L1: Bối cảnh trước giờ G,Video,public/media/kccm/1968-mau-than/videos/l1-hook-tet.mp4,"Đoạn phim 15s ghi cảnh Sài Gòn đón Tết, lồng âm thanh pháo hoa",CBS Archives
EV-68-01,Mậu Thân 1968,L1: Bối cảnh trước giờ G,Image,public/media/kccm/1968-mau-than/images/l1-pho-binh.jpg,"Ảnh mặt tiền Tiệm Phở Bình (Sở chỉ huy tiền phương), trắng đen",Bảo tàng Biệt động Sài Gòn
EV-68-01,Mậu Thân 1968,L1: Bối cảnh trước giờ G,Image,public/media/kccm/1968-mau-than/images/l1-ham-287.jpg,"Ảnh bên trong hầm vũ khí 287/70 Trần Quý Cáp",Bảo tàng Biệt động Sài Gòn
EV-68-01,Mậu Thân 1968,L1: Bối cảnh trước giờ G,Image,public/media/kccm/1968-mau-than/images/l1-tho-bac.jpg,"Bản thảo Bài thơ chúc Tết của Bác Hồ",Lưu trữ Quốc gia
EV-68-01,Mậu Thân 1968,L2: Giao tranh Đại sứ quán,Video,public/media/kccm/1968-mau-than/videos/l2-embassy-attack.mp4,"Đoạn clip 30s ghi lại cảnh lính quân cảnh Mỹ núp sau xe jeep, khói bụi",AP Archive
EV-68-01,Mậu Thân 1968,L2: Giao tranh Đại sứ quán,Image,public/media/kccm/1968-mau-than/images/l2-hole-wall.jpg,"Lỗ hổng trên tường Đại sứ quán Mỹ do khối thuốc nổ C4",TTXVN
EV-68-01,Mậu Thân 1968,L2: Giao tranh Đại sứ quán,Image,public/media/kccm/1968-mau-than/images/l2-doc-lap.jpg,"Giao tranh bên ngoài hàng rào Dinh Độc Lập",Báo Nhân Dân
EV-68-01,Mậu Thân 1968,L3: Tác động truyền thông,Video,public/media/kccm/1968-mau-than/videos/l3-walter-cronkite.mp4,"Trích đoạn nhà báo Walter Cronkite tuyên bố 'bế tắc' trên bản tin CBS",CBS News
EV-68-01,Mậu Thân 1968,L3: Tác động truyền thông,Image,public/media/kccm/1968-mau-than/images/l3-protest-us.jpg,"Biểu tình chống chiến tranh tại Washington DC",National Archives (Mỹ)
EV-72-01,ĐBP Trên Không 1972,L1: Chiến dịch Linebacker II,Video,public/media/kccm/1972-dbp-tren-khong/videos/l1-b52-takeoff.mp4,"B-52 cất cánh từ Guam, rải thảm bom",US Air Force Archive
EV-72-01,ĐBP Trên Không 1972,L1: Chiến dịch Linebacker II,Image,public/media/kccm/1972-dbp-tren-khong/images/l1-sam2.jpg,"Tên lửa SAM-2 rời bệ phóng trong đêm",TTXVN
EV-72-01,ĐBP Trên Không 1972,L2: Khâm Thiên đổ nát,Image,public/media/kccm/1972-dbp-tren-khong/images/l2-kham-thien.jpg,"Cảnh tàn phá tại phố Khâm Thiên sau đợt rải thảm",TTXVN
EV-72-01,ĐBP Trên Không 1972,L3: Bắn rơi B-52,Video,public/media/kccm/1972-dbp-tren-khong/videos/l3-b52-crash.mp4,"Khung cảnh máy bay B-52 bốc cháy và rơi tại hồ Hữu Tiệp",Hãng phim TL&KHTW
EV-75-01,Chiến dịch Hồ Chí Minh 1975,L1: Tiến về Sài Gòn,Video,public/media/kccm/1975-giai-phong/videos/l1-tank-390.mp4,"Xe tăng 390 húc đổ cổng chính Dinh Độc Lập ngày 30/4/1975",Báo Quân đội Nhân dân
EV-75-01,Chiến dịch Hồ Chí Minh 1975,L2: Ngày giải phóng,Image,public/media/kccm/1975-giai-phong/images/l2-people-cheer.jpg,"Người dân Sài Gòn mang cờ hoa đổ ra đường chào đón Quân Giải phóng",TTXVN
