ID,Event,Year,Media_Type,Description,Suggested_Source,Source_URL,Copyright_Status,Search_Keywords
M1,Phong trào Đồng Khởi,1960,Image,Dân chúng Bến Tre nổi dậy phá kìm kẹp với vũ khí thô sơ,Thông tấn xã Việt Nam (TTXVN),https://vnanet.vn/,Fair Use (Cleared) sử dụng,Đồng Khởi Bến Tre 1960 Đội quân tóc dài
M2,Đường Hồ Chí Minh (Trường Sơn),1959-1975,Video,Đoàn xe vận tải vượt trọng điểm bom đạn ngã ba Đồng Lộc,Hãng phim Tài liệu và Khoa học Trung ương,https://www.dsifilm.vn/,Fair Use (Cleared) sử dụng,Đường Trường Sơn xe vận tải bom đạn
M3,Sự kiện Vịnh Bắc Bộ,1964,Image,Tàu hải quân Mỹ và sự kiện đánh dấu Mỹ ném bom miền Bắc,Cục Lưu trữ Quốc gia / Báo Nhân Dân,https://nhandan.vn/,Public Domain / Fair-use,Vịnh Bắc Bộ 1964 Hải quân Mỹ
M4,Trận Núi Thành,1965,Image,Trận đánh đầu tiên quân giải phóng miền Nam thắng Mỹ,Bảo tàng Lịch sử Quân sự Việt Nam,https://btlsqsvn.org.vn/,Fair Use (Cleared) sử dụng,Trận Núi Thành 1965 diệt Mỹ
M5,Tổng tiến công Xuân Mậu Thân,1968,Video,Giao tranh tại Đại sứ quán Mỹ và các mục tiêu ở Sài Gòn,AP Archive / CBS News (Historical),https://newsroom.ap.org/,Educational Fair-use (Hạn chế),Mau Than 1968 Tet Offensive Saigon Embassy
M6,Tổng tiến công Xuân Mậu Thân,1968,Image,Biệt động Sài Gòn chuẩn bị vũ khí tại Hầm Trần Quý Cáp,Bảo tàng Biệt động Sài Gòn,N/A,Sở hữu của Bảo tàng (Fair-use),Biệt động Sài Gòn hầm vũ khí
M7,Điện Biên Phủ trên không,1972,Video,Tên lửa SAM-2 rời bệ phóng bắn rơi B-52 trên bầu trời Hà Nội,TTXVN / Đài Truyền hình Việt Nam (VTV),https://vtv.vn/,Fair Use (Cleared) sử dụng,Điện Biên Phủ trên không 1972 B-52 SAM-2
M8,Hiệp định Paris,1973,Image,Lễ ký kết Hiệp định Paris chấm dứt chiến tranh tại VN,Cục Văn thư và Lưu trữ nhà nước,https://luutru.gov.vn/,Public Domain,Hiệp định Paris 1973 ký kết
M9,Chiến dịch Hồ Chí Minh,1975,Video,Xe tăng 390 húc đổ cổng Dinh Độc Lập ngày 30/4,TTXVN / Báo Quân đội Nhân dân,https://www.qdnd.vn/,Fair Use (Cleared) sử dụng,Xe tăng 390 Dinh Độc Lập 30/4/1975
M10,Chiến dịch Hồ Chí Minh,1975,Image,Quần chúng nhân dân Sài Gòn đổ ra đường đón Quân Giải phóng,Thông tấn xã Việt Nam (TTXVN),https://vnanet.vn/,Fair Use (Cleared) sử dụng,Giải phóng miền Nam 30/4/1975 Sài Gòn
